State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year,Row,Col
Alaska,AK,3,HILARY CLINTON,37.7,"93,007",DONALD TRUMP,52.9,"130,415",2016,1,1
Alabama,AL,9,HILARY CLINTON,34.6,"718,084",DONALD TRUMP,62.9,"1,306,925",2016,7,8
Arkansas,AR,6,HILARY CLINTON,33.8,"378,729",DONALD TRUMP,60.6,"677,904",2016,6,6
Arizona,AZ,11,HILARY CLINTON,45.4,"933,655",DONALD TRUMP,49.6,"1,017,166",2016,6,3
California,CA,55,HILARY CLINTON,61.5,"5,589,936",DONALD TRUMP,33.2,"302,195",2016,5,2
Colorado,CO,9,HILARY CLINTON,47.2,"1,208,095",DONALD TRUMP,44.4,"1,136,354",2016,5,4
Connecticut,CT,7,HILARY CLINTON,53.9,"823,360",DONALD TRUMP,41.7,"637,919",2016,4,11
"Washington, D.C.",DC,3,HILARY CLINTON,90.5,"260,223",DONALD TRUMP,4,"11,553",2016,5,11
Delaware,DE,3,HILARY CLINTON,53.4,"235,581",DONALD TRUMP,41.9,"185,103",2016,6,10
Florida,FL,29,HILARY CLINTON,47.8,"4,485,745",DONALD TRUMP,49.1,"4,605,515",2016,8,10
Georgia,GA,16,HILARY CLINTON,45.6,"1,837,300",DONALD TRUMP,51.3,"2,068,623",2016,7,9
Hawaii,HI,4,HILARY CLINTON,62.3,"251,853",DONALD TRUMP,30.1,"121,648",2016,8,1
Iowa,IA,6,HILARY CLINTON,42.2,"650,790",DONALD TRUMP,51.8,"798,923",2016,4,6
Idaho,ID,4,HILARY CLINTON,27.6,"189,677",DONALD TRUMP,59.2,"407,199",2016,3,3
Illinois,IL,20,HILARY CLINTON,55.4,"2,977,498",DONALD TRUMP,39.4,"2,118,179",2016,3,7
Indiana,IN,11,HILARY CLINTON,37.9,"1,031,953",DONALD TRUMP,57.2,"1,556,200",2016,4,7
Kansas,KS,6,HILARY CLINTON,36.2,"414,788",DONALD TRUMP,57.2,"65,609",2016,6,5
Kentucky,KY,8,HILARY CLINTON,32.7,"628,834",DONALD TRUMP,62.5,"1,202,942",2016,5,7
Louisiana,LA,8,HILARY CLINTON,38.4,"779,535",DONALD TRUMP,58.1,"1,178,004",2016,7,6
Massachusetts,MA,11,HILARY CLINTON,60.8,"1,964,768",DONALD TRUMP,33.5,"1,083,069",2016,3,12
Maryland,MD,10,HILARY CLINTON,60.5,"149,951",DONALD TRUMP,35.3,"873,646",2016,5,10
Maine,ME,3,HILARY CLINTON,47.9,"354,873",DONALD TRUMP,45.2,"334,838",2016,1,12
Michigan,MI,0,HILARY CLINTON,47.3,"2,267,798",DONALD TRUMP,47.6,"2,279,221",2016,3,9
Minnesota,MN,10,HILARY CLINTON,46.9,"1,366,676",DONALD TRUMP,45.4,"1,322,891",2016,3,6
Missouri,MO,10,HILARY CLINTON,37.8,"1,054,889",DONALD TRUMP,56.9,"1,585,753",2016,5,6
Mississippi,MS,6,HILARY CLINTON,58.3,"462,001",DONALD TRUMP,58.3,"678,457",2016,7,7
Montana,MT,3,HILARY CLINTON,36,"174,521",DONALD TRUMP,56.5,"274,120",2016,3,4
North Carolina,NC,15,HILARY CLINTON,46.7,"2,162,074",DONALD TRUMP,50.5,"2,339,603",2016,6,8
North Dakota,ND,3,HILARY CLINTON,27.2,"93,526",DONALD TRUMP,63,"216,133",2016,3,5
Nebraska,NE,2,HILARY CLINTON,34,"273,858",DONALD TRUMP,60.3,"485,819",2016,5,5
New Hampshire,NH,4,HILARY CLINTON,47.6,"348,521",DONALD TRUMP,47.3,"345,789",2016,2,12
New Jersey,NJ,14,HILARY CLINTON,55,"2,021,756",DONALD TRUMP,41.8,"1,535,513",2016,4,10
New Mexico,NM,5,HILARY CLINTON,48.3,"380,724",DONALD TRUMP,40,"315,875",2016,6,4
Nevada,NV,6,HILARY CLINTON,47.9,"537,753",DONALD TRUMP,45.5,"511,319",2016,4,3
New York,NY,29,HILARY CLINTON,58.8,"4,143,874",DONALD TRUMP,37.5,"2,640,570",2016,3,10
Ohio,OH,18,HILARY CLINTON,43.5,"2,317,001",DONALD TRUMP,52.1,"2,771,984",2016,4,8
Oklahoma,OK,7,HILARY CLINTON,28.9,"419,788",DONALD TRUMP,65.3,"947,934",2016,7,5
Oregon,OR,7,HILARY CLINTON,51.7,"934,631",DONALD TRUMP,41.1,"742,506",2016,4,2
Pennsylvania,PA,20,HILARY CLINTON,47.6,"2,844,705",DONALD TRUMP,48.8,"2,912,941",2016,4,9
Rhode Island,RI,4,HILARY CLINTON,55.4,"249,902",DONALD TRUMP,39.8,"179,421",2016,3,11
South Carolina,SC,9,HILARY CLINTON,40.8,"849,469",DONALD TRUMP,54.9,"1,143,611",2016,6,9
South Dakota,SD,3,HILARY CLINTON,31.7,"117,442",DONALD TRUMP,61.5,"227,701",2016,4,5
Tennessee,TN,11,HILARY CLINTON,34.9,"867,110",DONALD TRUMP,61.1,"1,517,402",2016,6,7
Texas,TX,38,HILARY CLINTON,43.3,"3,867,816",DONALD TRUMP,52.4,"4,681,590",2016,8,5
Utah,UT,6,HILARY CLINTON,27.8,"237,241",DONALD TRUMP,46.6,"397,004",2016,5,3
Virginia,VA,13,HILARY CLINTON,49.9,"1,916,845",DONALD TRUMP,45,"1,731,156",2016,5,9
Vermont,VT,3,HILARY CLINTON,61.1,"178,117",DONALD TRUMP,32.6,"95,050",2016,2,11
Washington,WA,12,HILARY CLINTON,54.9,"1,364,934",DONALD TRUMP,38.3,"950,710",2016,3,2
Wisconsin,WI,10,HILARY CLINTON,46.9,"1,382,210",DONALD TRUMP,47.9,"1,409,467",2016,3,8
West Virginia,WV,5,HILARY CLINTON,26.5,"187,457",DONALD TRUMP,68.7,"486,198",2016,5,8
Wyoming,WY,3,HILARY CLINTON,22.5,"55,969",DONALD TRUMP,70.1,"174,248",2016,4,4
