State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year,Row,Col
Minnesota,MN,11,FRANKLIN D. ROOSEVELT,51.5,644196,WENDELL WILLKIE,47.7,596274,1940,3,6
Wisconsin,WI,12,FRANKLIN D. ROOSEVELT,50.1,704821,WENDELL WILLKIE,48.3,679206,1940,3,8
Illinois,IL,29,FRANKLIN D. ROOSEVELT,51,2149934,WENDELL WILLKIE,48.5,2047240,1940,3,7
Ohio,OH,26,FRANKLIN D. ROOSEVELT,52.2,1733139,WENDELL WILLKIE,47.8,1586773,1940,4,8
Missouri,MO,15,FRANKLIN D. ROOSEVELT,52.3,958476,WENDELL WILLKIE,47.5,871009,1940,5,6
New Hampshire,NH,4,FRANKLIN D. ROOSEVELT,53.2,125292,WENDELL WILLKIE,46.8,110127,1940,2,12
New York,NY,47,FRANKLIN D. ROOSEVELT,51.6,3251918,WENDELL WILLKIE,48,3027478,1940,3,10
Rhode Island,RI,4,FRANKLIN D. ROOSEVELT,56.7,182181,WENDELL WILLKIE,43.2,138654,1940,3,11
Massachusetts,MA,17,FRANKLIN D. ROOSEVELT,53.1,1076522,WENDELL WILLKIE,46.4,939700,1940,3,12
Pennsylvania,PA,36,FRANKLIN D. ROOSEVELT,53.2,2171035,WENDELL WILLKIE,46.3,1889848,1940,4,9
New Jersey,NJ,16,FRANKLIN D. ROOSEVELT,51.5,1016808,WENDELL WILLKIE,47.9,945475,1940,4,10
Connecticut,CT,8,FRANKLIN D. ROOSEVELT,53.4,417621,WENDELL WILLKIE,46.3,361819,1940,4,11
Delaware,DE,3,FRANKLIN D. ROOSEVELT,54.7,74599,WENDELL WILLKIE,45.1,61440,1940,6,10
Kentucky,KY,11,FRANKLIN D. ROOSEVELT,57.4,557322,WENDELL WILLKIE,42.3,410384,1940,5,7
West Virginia,WV,8,FRANKLIN D. ROOSEVELT,57.1,495662,WENDELL WILLKIE,42.9,372414,1940,5,8
