State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year,Row,Col
Minnesota,MN,10,HUBERT HUMPHREY,54,857738,RICHARD NIXON,41.5,658643,1968,3,6
Michigan,MI,21,HUBERT HUMPHREY,48.2,1593082,RICHARD NIXON,41.5,1370665,1968,3,9
Maine,ME,4,HUBERT HUMPHREY,55.3,217312,RICHARD NIXON,43.1,169254,1968,1,12
New York,NY,43,HUBERT HUMPHREY,49.7,3378470,RICHARD NIXON,44.3,3007932,1968,3,10
Rhode Island,RI,4,HUBERT HUMPHREY,64,246518,RICHARD NIXON,31.8,122359,1968,3,11
Massachusetts,MA,14,HUBERT HUMPHREY,63,1469218,RICHARD NIXON,32.9,766844,1968,3,12
Pennsylvania,PA,29,HUBERT HUMPHREY,47.6,2259405,RICHARD NIXON,44,2090017,1968,4,9
Connecticut,CT,8,HUBERT HUMPHREY,49.5,621561,RICHARD NIXON,44.3,556721,1968,4,11
Dist. of Col.,DC,3,HUBERT HUMPHREY,81.8,139566,RICHARD NIXON,18.2,31012,1968,5,11
West Virginia,WV,7,HUBERT HUMPHREY,49.6,374091,RICHARD NIXON,40.8,307555,1968,5,8
Maryland,MD,10,HUBERT HUMPHREY,43.6,538310,RICHARD NIXON,41.9,517995,1968,5,10
Texas,TX,25,HUBERT HUMPHREY,41.1,1266804,RICHARD NIXON,39.9,1227844,1968,8,5
Washington,WA,9,HUBERT HUMPHREY,47.2,616037,RICHARD NIXON,45.1,588510,1968,3,2
Hawaii,HI,4,HUBERT HUMPHREY,59.8,141324,RICHARD NIXON,38.7,91425,1968,8,1
Arkansas,AR,6,HUBERT HUMPHREY,30.4,188228,RICHARD NIXON,30.8,190759,1968,6,6
Mississippi,MS,7,HUBERT HUMPHREY,23,150644,RICHARD NIXON,13.5,88516,1968,7,7
Louisiana,LA,10,HUBERT HUMPHREY,28.2,309615,RICHARD NIXON,23.5,257535,1968,7,6
Alabama,AL,10,HUBERT HUMPHREY,18.7,196579,RICHARD NIXON,14,146923,1968,7,8
Georgia,GA,12,HUBERT HUMPHREY,26.7,334440,RICHARD NIXON,30.4,380111,1968,7,9
North Dakota,ND,4,HUBERT HUMPHREY,38.2,94769,RICHARD NIXON,55.9,138669,1968,3,5
Wisconsin,WI,12,HUBERT HUMPHREY,44.3,748804,RICHARD NIXON,47.9,809997,1968,3,8
Illinois,IL,26,HUBERT HUMPHREY,44.2,2039814,RICHARD NIXON,47.1,2174774,1968,3,7
South Dakota,SD,4,HUBERT HUMPHREY,42,118023,RICHARD NIXON,53.3,149841,1968,4,5
Iowa,IA,9,HUBERT HUMPHREY,40.8,476699,RICHARD NIXON,53,619106,1968,4,6
Indiana,IN,13,HUBERT HUMPHREY,38,806659,RICHARD NIXON,50.3,1067885,1968,4,7
Ohio,OH,26,HUBERT HUMPHREY,42.9,1700586,RICHARD NIXON,45.2,1791014,1968,4,8
Nebraska,NE,5,HUBERT HUMPHREY,31.8,170784,RICHARD NIXON,59.8,321163,1968,5,5
Missouri,MO,12,HUBERT HUMPHREY,43.7,791444,RICHARD NIXON,44.9,811932,1968,5,6
Kansas,KS,7,HUBERT HUMPHREY,34.7,302996,RICHARD NIXON,54.8,478674,1968,6,5
Vermont,VT,3,HUBERT HUMPHREY,43.5,70255,RICHARD NIXON,52.8,85142,1968,2,11
New Hampshire,NH,4,HUBERT HUMPHREY,43.9,130589,RICHARD NIXON,52.1,154903,1968,2,12
New Jersey,NJ,17,HUBERT HUMPHREY,44,1264206,RICHARD NIXON,46.1,1325467,1968,4,10
Delaware,DE,3,HUBERT HUMPHREY,41.6,89194,RICHARD NIXON,45.1,96714,1968,6,10
Kentucky,KY,9,HUBERT HUMPHREY,37.6,397541,RICHARD NIXON,43.8,462411,1968,5,7
Virginia,VA,12,HUBERT HUMPHREY,32.5,442387,RICHARD NIXON,43.4,590319,1968,5,9
Tennessee,TN,11,HUBERT HUMPHREY,28.1,351233,RICHARD NIXON,37.8,472592,1968,6,7
North Carolina,NC,12,HUBERT HUMPHREY,29.2,464113,RICHARD NIXON,39.5,627192,1968,6,8
Oklahoma,OK,8,HUBERT HUMPHREY,32,301658,RICHARD NIXON,47.7,449697,1968,7,5
