State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year,Row,Col
Florida,FL,14,HUBERT HUMPHREY,30.9,676794,RICHARD NIXON,40.5,886804,1968,8,10
South Carolina,SC,8,HUBERT HUMPHREY,29.6,197486,RICHARD NIXON,38.1,254062,1968,6,9
Alaska,AK,3,HUBERT HUMPHREY,42.6,35411,RICHARD NIXON,45.3,37600,1968,1,1
Montana,MT,4,HUBERT HUMPHREY,41.6,114117,RICHARD NIXON,50.6,138835,1968,3,4
Idaho,ID,4,HUBERT HUMPHREY,30.7,89273,RICHARD NIXON,56.8,165369,1968,3,3
Wyoming,WY,3,HUBERT HUMPHREY,35.5,45173,RICHARD NIXON,55.8,70927,1968,4,4
Oregon,OR,6,HUBERT HUMPHREY,43.8,358866,RICHARD NIXON,49.8,408433,1968,4,2
Nevada,NV,3,HUBERT HUMPHREY,39.3,60598,RICHARD NIXON,47.5,73188,1968,4,3
Colorado,CO,6,HUBERT HUMPHREY,41.3,335174,RICHARD NIXON,50.5,409345,1968,5,4
California,CA,40,HUBERT HUMPHREY,44.7,3244318,RICHARD NIXON,47.8,3467664,1968,5,2
Utah,UT,4,HUBERT HUMPHREY,31.1,156665,RICHARD NIXON,56.5,238728,1968,5,3
New Mexico,NM,4,HUBERT HUMPHREY,39.7,130081,RICHARD NIXON,51.8,169692,1968,6,4
Arizona,AZ,5,HUBERT HUMPHREY,35,170514,RICHARD NIXON,54.8,266721,1968,6,3
