State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year,Row,Col
Alabama,AL,11,JOHN F KENNEDY,56.39,"318,303",RICHARD NIXON,42.16,"237,981",1960,7,8
Alaska,AK,3,JOHN F KENNEDY,49.06,"29,809",RICHARD NIXON,50.94,"30,953",1960,1,1
Arizona,AZ,4,JOHN F KENNEDY,44.36,"176,781",RICHARD NIXON,55.52,"221,241",1960,6,3
Arkansas,AR,8,JOHN F KENNEDY,50.19,"215,049",RICHARD NIXON,43.06,"184,508",1960,6,6
California,CA,32,JOHN F KENNEDY,49.55,"3,224,099",RICHARD NIXON,50.1,"3,259,722",1960,5,2
Colorado,CO,6,JOHN F KENNEDY,44.91,"330,629",RICHARD NIXON,54.63,"402,242",1960,5,4
Connecticut,CT,8,JOHN F KENNEDY,53.73,"657,055",RICHARD NIXON,46.27,"565,813",1960,4,11
Delaware,DE,3,JOHN F KENNEDY,50.63,"99,590",RICHARD NIXON,49,"96,373",1960,6,10
Florida,FL,10,JOHN F KENNEDY,48.49,"748,700",RICHARD NIXON,51.51,"795,476",1960,8,10
Georgia,GA,12,JOHN F KENNEDY,62.54,"458,638",RICHARD NIXON,37.43,"274,472",1960,7,9
Hawaii,HI,3,JOHN F KENNEDY,50.03,"92,410",RICHARD NIXON,49.97,"92,295",1960,8,1
Idaho,ID,4,JOHN F KENNEDY,46.22,"138,853",RICHARD NIXON,53.78,"161,597",1960,3,3
Illinois,IL,27,JOHN F KENNEDY,49.98,"2,377,846",RICHARD NIXON,49.8,"2,368,988",1960,3,7
Indiana,IN,13,JOHN F KENNEDY,44.6,"952,358",RICHARD NIXON,55.03,"1,175,120",1960,4,7
Iowa,IA,10,JOHN F KENNEDY,43.22,"550,565",RICHARD NIXON,56.71,"722,381",1960,4,6
Kansas,KS,8,JOHN F KENNEDY,39.1,"363,213",RICHARD NIXON,60.45,"561,474",1960,6,5
Kentucky,KY,10,JOHN F KENNEDY,46.41,"521,855",RICHARD NIXON,53.59,"602,607",1960,5,7
Louisiana,LA,10,JOHN F KENNEDY,50.42,"407,339",RICHARD NIXON,28.59,"230,980",1960,7,6
Maine,ME,5,JOHN F KENNEDY,42.95,"181,159",RICHARD NIXON,57.05,"240,608",1960,1,12
Maryland,MD,9,JOHN F KENNEDY,53.61,"565,808",RICHARD NIXON,46.39,"489,538",1960,5,10
Massachusetts,MA,16,JOHN F KENNEDY,60.22,"1,487,174",RICHARD NIXON,39.55,"976,750",1960,3,12
