State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year,Row,Col
Michigan,MI,20,JOHN F KENNEDY,50.85,"1,687,269",RICHARD NIXON,48.84,"1,620,428",1960,3,9
Minnesota,MN,11,JOHN F KENNEDY,50.58,"779,933",RICHARD NIXON,49.16,"757,915",1960,3,6
Mississippi,MS,8,JOHN F KENNEDY,36.34,"108,362",RICHARD NIXON,24.67,"73,561",1960,7,7
Missouri,MO,13,JOHN F KENNEDY,50.26,"972,201",RICHARD NIXON,49.74,"962,221",1960,5,6
Montana,MT,4,JOHN F KENNEDY,48.6,"134,891",RICHARD NIXON,51.1,"141,841",1960,3,4
Nebraska,NE,6,JOHN F KENNEDY,37.93,"232,542",RICHARD NIXON,62.07,"380,553",1960,5,5
Nevada,NV,3,JOHN F KENNEDY,51.16,"54,880",RICHARD NIXON,48.84,"52,387",1960,4,3
New Hampshire,NH,4,JOHN F KENNEDY,46.58,"137,772",RICHARD NIXON,53.42,"157,989",1960,2,12
New Jersey,NJ,16,JOHN F KENNEDY,49.96,"1,385,415",RICHARD NIXON,49.16,"1,363,324",1960,4,10
New Mexico,NM,4,JOHN F KENNEDY,50.15,"156,027",RICHARD NIXON,49.41,"153,733",1960,6,4
New York,NY,45,JOHN F KENNEDY,52.53,"3,830,085",RICHARD NIXON,47.27,"3,446,419",1960,3,10
North Carolina,NC,14,JOHN F KENNEDY,52.11,"713,136",RICHARD NIXON,47.89,"655,420",1960,6,8
North Dakota,ND,4,JOHN F KENNEDY,44.52,"123,963",RICHARD NIXON,55.42,"154,310",1960,3,5
Ohio,OH,25,JOHN F KENNEDY,46.72,"1,944,248",RICHARD NIXON,53.28,"2,217,611",1960,4,8
Oklahoma,OK,8,JOHN F KENNEDY,40.98,"370,111",RICHARD NIXON,59.02,"533,039",1960,7,5
Oregon,OR,6,JOHN F KENNEDY,47.32,"367,402",RICHARD NIXON,52.56,"408,060",1960,4,2
Pennsylvania,PA,32,JOHN F KENNEDY,51.06,"2,556,282",RICHARD NIXON,48.74,"2,439,956",1960,4,9
Rhode Island,RI,4,JOHN F KENNEDY,63.63,"258,032",RICHARD NIXON,36.37,"147,502",1960,3,11
South Carolina,SC,8,JOHN F KENNEDY,51.24,"198,129",RICHARD NIXON,48.76,"188,558",1960,6,9
South Dakota,SD,4,JOHN F KENNEDY,41.79,"128,070",RICHARD NIXON,58.21,"178,417",1960,4,5
Tennessee,TN,11,JOHN F KENNEDY,45.77,"481,453",RICHARD NIXON,52.92,"556,577",1960,6,7
Texas,TX,24,JOHN F KENNEDY,50.52,"1,167,567",RICHARD NIXON,48.52,"1,121,310",1960,8,5
Utah,UT,4,JOHN F KENNEDY,45.17,"169,248",RICHARD NIXON,54.81,"205,361",1960,5,3
Vermont,VT,3,JOHN F KENNEDY,41.35,"69,186",RICHARD NIXON,58.65,"98,131",1960,2,11
Virginia,VA,12,JOHN F KENNEDY,46.97,"362,327",RICHARD NIXON,52.44,"404,521",1960,5,9
Washington,WA,9,JOHN F KENNEDY,48.27,"599,298",RICHARD NIXON,50.68,"629,273",1960,3,2
West Virginia,WV,8,JOHN F KENNEDY,52.73,"441,786",RICHARD NIXON,47.27,"395,995",1960,5,8
Wisconsin,WI,12,JOHN F KENNEDY,48.05,"830,805",RICHARD NIXON,51.77,"895,175",1960,3,8
Wyoming,WY,3,JOHN F KENNEDY,44.99,"63,331",RICHARD NIXON,55.01,"77,451",1960,4,4
