State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year,Row,Col
Minnesota,MN,10,BILL CLINTON,43.5,1020997,GEORGE BUSH,31.9,747841,1992,3,6
Wisconsin,WI,11,BILL CLINTON,41.1,1041066,GEORGE BUSH,36.8,930855,1992,3,8
Iowa,IA,7,BILL CLINTON,43.3,586353,GEORGE BUSH,37.3,504891,1992,4,6
Michigan,MI,18,BILL CLINTON,43.8,1871182,GEORGE BUSH,36.4,1554940,1992,3,9
Illinois,IL,22,BILL CLINTON,48.6,2453350,GEORGE BUSH,34.3,1734096,1992,3,7
Ohio,OH,21,BILL CLINTON,40.2,1984942,GEORGE BUSH,38.3,1894310,1992,4,8
Missouri,MO,11,BILL CLINTON,44.1,1053873,GEORGE BUSH,33.9,811159,1992,5,6
New York,NY,33,BILL CLINTON,49.7,3444450,GEORGE BUSH,33.9,2346649,1992,3,10
Rhode Island,RI,4,BILL CLINTON,47,213299,GEORGE BUSH,29,131601,1992,3,11
Massachusetts,MA,12,BILL CLINTON,47.5,1318662,GEORGE BUSH,29,805049,1992,3,12
Dist. of Col.,DC,3,BILL CLINTON,84.6,192619,GEORGE BUSH,9.1,20698,1992,5,11
Maine,ME,4,BILL CLINTON,38.8,263420,GEORGE BUSH,30.4,206504,1992,1,12
Vermont,VT,3,BILL CLINTON,46.1,133592,GEORGE BUSH,30.4,88122,1992,2,11
New Hampshire,NH,4,BILL CLINTON,38.9,209040,GEORGE BUSH,37.6,202484,1992,2,12
Pennsylvania,PA,23,BILL CLINTON,45.1,2239164,GEORGE BUSH,36.1,1791841,1992,4,9
New Jersey,NJ,15,BILL CLINTON,43,1436206,GEORGE BUSH,40.6,1356865,1992,4,10
Connecticut,CT,8,BILL CLINTON,42.2,682318,GEORGE BUSH,35.8,578313,1992,4,11
Delaware,DE,3,BILL CLINTON,43.5,126054,GEORGE BUSH,35.3,102313,1992,6,10
West Virginia,WV,5,BILL CLINTON,48.4,331001,GEORGE BUSH,35.4,241974,1992,5,8
Kentucky,KY,8,BILL CLINTON,44.6,665104,GEORGE BUSH,41.3,617178,1992,5,7
Maryland,MD,10,BILL CLINTON,49.8,988571,GEORGE BUSH,35.6,707094,1992,5,10
Arkansas,AR,6,BILL CLINTON,53.2,505823,GEORGE BUSH,35.5,337324,1992,6,6
Tennessee,TN,11,BILL CLINTON,47.1,933521,GEORGE BUSH,42.4,841300,1992,6,7
Louisiana,LA,9,BILL CLINTON,45.6,815971,GEORGE BUSH,41,733386,1992,7,6
Georgia,GA,13,BILL CLINTON,43.5,1008966,GEORGE BUSH,42.9,995252,1992,7,9
Washington,WA,11,BILL CLINTON,43.4,993037,GEORGE BUSH,32,731234,1992,3,2
Oregon,OR,7,BILL CLINTON,42.5,621314,GEORGE BUSH,32.5,475757,1992,4,2
Hawaii,HI,4,BILL CLINTON,48.1,179310,GEORGE BUSH,36.7,136822,1992,8,1
Montana,MT,3,BILL CLINTON,37.6,154507,GEORGE BUSH,35.1,144207,1992,3,4
Nevada,NV,4,BILL CLINTON,37.4,189148,GEORGE BUSH,34.7,175828,1992,4,3
Colorado,CO,8,BILL CLINTON,40.1,629681,GEORGE BUSH,35.9,562850,1992,5,4
California,CA,54,BILL CLINTON,46,5121325,GEORGE BUSH,32.6,3630574,1992,5,2
New Mexico,NM,5,BILL CLINTON,45.9,261617,GEORGE BUSH,37.3,212824,1992,6,4
North Dakota,ND,3,BILL CLINTON,32.2,99168,GEORGE BUSH,44.2,136244,1992,3,5
South Dakota,SD,3,BILL CLINTON,37.1,124888,GEORGE BUSH,40.7,136718,1992,4,5
Indiana,IN,12,BILL CLINTON,36.8,848420,GEORGE BUSH,42.9,989375,1992,4,7
Nebraska,NE,5,BILL CLINTON,29.4,216864,GEORGE BUSH,46.6,343678,1992,5,5
Kansas,KS,6,BILL CLINTON,33.7,390434,GEORGE BUSH,38.9,449951,1992,6,5
Virginia,VA,13,BILL CLINTON,40.6,1038650,GEORGE BUSH,45,1150517,1992,5,9
North Carolina,NC,14,BILL CLINTON,42.7,1114042,GEORGE BUSH,43.4,1134661,1992,6,8
South Carolina,SC,8,BILL CLINTON,39.9,479514,GEORGE BUSH,48,577507,1992,6,9
Oklahoma,OK,8,BILL CLINTON,34,473066,GEORGE BUSH,42.6,592929,1992,7,5
Mississippi,MS,7,BILL CLINTON,40.8,400258,GEORGE BUSH,49.7,487793,1992,7,7
Alabama,AL,9,BILL CLINTON,40.9,690080,GEORGE BUSH,47.6,804283,1992,7,8
Texas,TX,32,BILL CLINTON,37.1,2281815,GEORGE BUSH,40.6,2496071,1992,8,5
Florida,FL,25,BILL CLINTON,39,2072698,GEORGE BUSH,40.9,2173310,1992,8,10
Alaska,AK,3,BILL CLINTON,30.3,78294,GEORGE BUSH,39.5,102000,1992,1,1
Idaho,ID,4,BILL CLINTON,28.4,137013,GEORGE BUSH,42,202645,1992,3,3
Wyoming,WY,3,BILL CLINTON,34,68160,GEORGE BUSH,39.6,79347,1992,4,4
Utah,UT,5,BILL CLINTON,24.7,183429,GEORGE BUSH,43.4,322632,1992,5,3
Arizona,AZ,8,BILL CLINTON,36.5,543050,GEORGE BUSH,38.5,572086,1992,6,3
