State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year,Row,Col
Minnesota,MN,10,JIMMY CARTER,46.5,954174,RONALD REAGAN,42.6,873268,1980,3,6
Rhode Island,RI,4,JIMMY CARTER,47.7,198342,RONALD REAGAN,37.2,154793,1980,3,11
Dist. of Col.,DC,3,JIMMY CARTER,74.8,131113,RONALD REAGAN,13.4,23545,1980,5,11
West Virginia,WV,6,JIMMY CARTER,49.8,367462,RONALD REAGAN,45.3,334206,1980,5,8
Maryland,MD,10,JIMMY CARTER,47.1,726161,RONALD REAGAN,44.2,680606,1980,5,10
Georgia,GA,12,JIMMY CARTER,55.8,890733,RONALD REAGAN,41,654168,1980,7,9
Hawaii,HI,4,JIMMY CARTER,44.8,135879,RONALD REAGAN,42.9,130112,1980,8,1
Wisconsin,WI,11,JIMMY CARTER,43.2,981584,RONALD REAGAN,47.9,1088845,1980,3,8
Ohio,OH,25,JIMMY CARTER,40.9,1752414,RONALD REAGAN,51.5,2206545,1980,4,8
Missouri,MO,12,JIMMY CARTER,44.3,931182,RONALD REAGAN,51.2,1074181,1980,5,6
North Dakota,ND,3,JIMMY CARTER,26.3,79189,RONALD REAGAN,64.2,193695,1980,3,5
Michigan,MI,21,JIMMY CARTER,42.5,1661532,RONALD REAGAN,49,1915225,1980,3,9
Illinois,IL,26,JIMMY CARTER,41.7,1981413,RONALD REAGAN,49.6,2358049,1980,3,7
South Dakota,SD,4,JIMMY CARTER,31.7,103855,RONALD REAGAN,60.5,198343,1980,4,5
Iowa,IA,8,JIMMY CARTER,38.6,508672,RONALD REAGAN,51.3,676026,1980,4,6
Indiana,IN,13,JIMMY CARTER,37.7,844197,RONALD REAGAN,56,1255656,1980,4,7
Nebraska,NE,5,JIMMY CARTER,26,166851,RONALD REAGAN,65.5,419937,1980,5,5
Kansas,KS,7,JIMMY CARTER,33.3,326150,RONALD REAGAN,57.9,566812,1980,6,5
New York,NY,41,JIMMY CARTER,44,2728372,RONALD REAGAN,46.7,2893831,1980,3,10
Massachusetts,MA,14,JIMMY CARTER,41.7,1053802,RONALD REAGAN,41.9,1057631,1980,3,12
Pennsylvania,PA,27,JIMMY CARTER,42.5,1937540,RONALD REAGAN,49.6,2261872,1980,4,9
Delaware,DE,3,JIMMY CARTER,44.8,105754,RONALD REAGAN,47.2,111252,1980,6,10
Maine,ME,4,JIMMY CARTER,42.3,220974,RONALD REAGAN,45.6,238522,1980,1,12
Vermont,VT,3,JIMMY CARTER,38.4,81952,RONALD REAGAN,44.4,94628,1980,2,11
New Hampshire,NH,4,JIMMY CARTER,28.4,108864,RONALD REAGAN,57.7,221705,1980,2,12
New Jersey,NJ,17,JIMMY CARTER,38.6,1147364,RONALD REAGAN,52,1546557,1980,4,10
Connecticut,CT,8,JIMMY CARTER,38.5,541732,RONALD REAGAN,48.2,677210,1980,4,11
Kentucky,KY,9,JIMMY CARTER,47.6,616417,RONALD REAGAN,49.1,635274,1980,5,7
Arkansas,AR,6,JIMMY CARTER,47.5,398041,RONALD REAGAN,48.1,403164,1980,6,6
Tennessee,TN,10,JIMMY CARTER,48.4,783051,RONALD REAGAN,48.7,787761,1980,6,7
North Carolina,NC,13,JIMMY CARTER,47.2,875635,RONALD REAGAN,49.3,915018,1980,6,8
South Carolina,SC,8,JIMMY CARTER,48.1,430385,RONALD REAGAN,49.4,441841,1980,6,9
Louisiana,LA,10,JIMMY CARTER,45.7,708453,RONALD REAGAN,51.2,792853,1980,7,6
Mississippi,MS,7,JIMMY CARTER,48.1,429281,RONALD REAGAN,49.4,441089,1980,7,7
Alabama,AL,9,JIMMY CARTER,47.4,636730,RONALD REAGAN,48.8,654192,1980,7,8
Texas,TX,26,JIMMY CARTER,41.4,1881147,RONALD REAGAN,55.3,2510705,1980,8,5
Florida,FL,17,JIMMY CARTER,38.5,1419475,RONALD REAGAN,55.5,2046951,1980,8,10
Virginia,VA,12,JIMMY CARTER,40.3,752174,RONALD REAGAN,53,989609,1980,5,9
Oklahoma,OK,8,JIMMY CARTER,35,402026,RONALD REAGAN,60.5,695570,1980,7,5
Alaska,AK,3,JIMMY CARTER,26.4,41842,RONALD REAGAN,54.3,86112,1980,1,1
Washington,WA,9,JIMMY CARTER,37.3,650193,RONALD REAGAN,49.7,865244,1980,3,2
Montana,MT,4,JIMMY CARTER,32.4,118032,RONALD REAGAN,56.8,206814,1980,3,4
Idaho,ID,4,JIMMY CARTER,25.2,110192,RONALD REAGAN,66.5,290699,1980,3,3
Wyoming,WY,3,JIMMY CARTER,28,49427,RONALD REAGAN,62.6,110700,1980,4,4
Oregon,OR,6,JIMMY CARTER,38.7,456890,RONALD REAGAN,48.3,571044,1980,4,2
Nevada,NV,3,JIMMY CARTER,26.9,66666,RONALD REAGAN,62.5,155017,1980,4,3
Colorado,CO,7,JIMMY CARTER,31.1,367973,RONALD REAGAN,55.1,652264,1980,5,4
California,CA,45,JIMMY CARTER,35.9,3083661,RONALD REAGAN,52.7,4524858,1980,5,2
Utah,UT,4,JIMMY CARTER,20.6,124266,RONALD REAGAN,72.8,439687,1980,5,3
Arizona,AZ,6,JIMMY CARTER,28.2,246843,RONALD REAGAN,60.6,529688,1980,6,3
New Mexico,NM,4,JIMMY CARTER,36.7,167826,RONALD REAGAN,54.9,250779,1980,6,4
