State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year,Row,Col
Minnesota,MN,10,WALTER MONDALE,49.7,1036364,RONALD REAGAN,49.5,1032603,1984,3,6
Dist. of Col.,DC,3,WALTER MONDALE,85.4,180408,RONALD REAGAN,13.7,29009,1984,5,11
North Dakota,ND,3,WALTER MONDALE,33.8,104429,RONALD REAGAN,64.8,200336,1984,3,5
Wisconsin,WI,11,WALTER MONDALE,45,995740,RONALD REAGAN,54.2,1198584,1984,3,8
Michigan,MI,20,WALTER MONDALE,40.2,1529638,RONALD REAGAN,59.2,2251571,1984,3,9
Illinois,IL,24,WALTER MONDALE,43.3,2086499,RONALD REAGAN,56.2,2707103,1984,3,7
South Dakota,SD,3,WALTER MONDALE,36.5,116113,RONALD REAGAN,63,200267,1984,4,5
Iowa,IA,8,WALTER MONDALE,45.9,605620,RONALD REAGAN,53.3,703088,1984,4,6
Indiana,IN,12,WALTER MONDALE,37.7,841481,RONALD REAGAN,61.7,1377230,1984,4,7
Ohio,OH,23,WALTER MONDALE,40.1,1825440,RONALD REAGAN,58.9,2678560,1984,4,8
Nebraska,NE,5,WALTER MONDALE,28.8,187866,RONALD REAGAN,70.6,460054,1984,5,5
Missouri,MO,11,WALTER MONDALE,40,848583,RONALD REAGAN,60,1274188,1984,5,6
Kansas,KS,7,WALTER MONDALE,32.6,333149,RONALD REAGAN,66.3,677296,1984,6,5
Rhode Island,RI,4,WALTER MONDALE,48,197106,RONALD REAGAN,51.7,212080,1984,3,11
Maine,ME,4,WALTER MONDALE,38.8,214515,RONALD REAGAN,60.8,336500,1984,1,12
Vermont,VT,3,WALTER MONDALE,40.8,95730,RONALD REAGAN,57.9,135865,1984,2,11
New Hampshire,NH,4,WALTER MONDALE,30.9,120395,RONALD REAGAN,68.6,267051,1984,2,12
New York,NY,36,WALTER MONDALE,45.8,3119609,RONALD REAGAN,53.8,3664763,1984,3,10
Massachusetts,MA,13,WALTER MONDALE,48.4,1239606,RONALD REAGAN,51.2,1310936,1984,3,12
Pennsylvania,PA,25,WALTER MONDALE,46,2228131,RONALD REAGAN,53.3,2584323,1984,4,9
New Jersey,NJ,16,WALTER MONDALE,39.2,1261323,RONALD REAGAN,60.1,1933630,1984,4,10
Connecticut,CT,8,WALTER MONDALE,38.8,569597,RONALD REAGAN,60.7,890877,1984,4,11
Delaware,DE,3,WALTER MONDALE,39.9,101656,RONALD REAGAN,59.8,152190,1984,6,10
West Virginia,WV,6,WALTER MONDALE,44.6,328125,RONALD REAGAN,55.1,405483,1984,5,8
Maryland,MD,10,WALTER MONDALE,47,787935,RONALD REAGAN,52.5,879918,1984,5,10
Georgia,GA,12,WALTER MONDALE,39.8,706628,RONALD REAGAN,60.2,1068722,1984,7,9
Kentucky,KY,9,WALTER MONDALE,39.4,539539,RONALD REAGAN,60,821702,1984,5,7
Virginia,VA,12,WALTER MONDALE,37.1,796250,RONALD REAGAN,62.3,1337078,1984,5,9
Arkansas,AR,6,WALTER MONDALE,38.3,338646,RONALD REAGAN,60.5,534774,1984,6,6
Tennessee,TN,11,WALTER MONDALE,41.6,711714,RONALD REAGAN,57.8,990212,1984,6,7
North Carolina,NC,13,WALTER MONDALE,37.9,824287,RONALD REAGAN,61.9,1346481,1984,6,8
South Carolina,SC,8,WALTER MONDALE,35.6,344459,RONALD REAGAN,63.6,615539,1984,6,9
Oklahoma,OK,8,WALTER MONDALE,30.7,385080,RONALD REAGAN,68.6,861530,1984,7,5
Louisiana,LA,10,WALTER MONDALE,38.2,651586,RONALD REAGAN,60.8,1037299,1984,7,6
Mississippi,MS,7,WALTER MONDALE,37.4,352192,RONALD REAGAN,61.9,582377,1984,7,7
Alabama,AL,9,WALTER MONDALE,38.3,551899,RONALD REAGAN,60.5,872849,1984,7,8
Texas,TX,29,WALTER MONDALE,36.1,1949276,RONALD REAGAN,63.6,3433428,1984,8,5
Florida,FL,21,WALTER MONDALE,34.7,1448816,RONALD REAGAN,65.3,2730350,1984,8,10
Hawaii,HI,4,WALTER MONDALE,43.8,147154,RONALD REAGAN,55.1,185050,1984,8,1
Alaska,AK,3,WALTER MONDALE,29.9,62007,RONALD REAGAN,66.7,138377,1984,1,1
Washington,WA,10,WALTER MONDALE,42.9,807352,RONALD REAGAN,55.8,1051670,1984,3,2
Montana,MT,4,WALTER MONDALE,38.2,146742,RONALD REAGAN,60.5,232450,1984,3,4
Idaho,ID,4,WALTER MONDALE,26.4,108510,RONALD REAGAN,72.4,297523,1984,3,3
Wyoming,WY,3,WALTER MONDALE,28.2,53370,RONALD REAGAN,70.5,133241,1984,4,4
Oregon,OR,7,WALTER MONDALE,43.7,536479,RONALD REAGAN,55.9,685700,1984,4,2
Nevada,NV,4,WALTER MONDALE,32,91655,RONALD REAGAN,65.8,188770,1984,4,3
Colorado,CO,8,WALTER MONDALE,35.1,454975,RONALD REAGAN,63.4,821817,1984,5,4
California,CA,47,WALTER MONDALE,41.3,3922519,RONALD REAGAN,57.5,5467009,1984,5,2
Utah,UT,5,WALTER MONDALE,24.7,155369,RONALD REAGAN,74.5,469105,1984,5,3
Arizona,AZ,7,WALTER MONDALE,32.5,333854,RONALD REAGAN,66.4,681416,1984,6,3
New Mexico,NM,5,WALTER MONDALE,39.2,201769,RONALD REAGAN,59.7,307101,1984,6,4
